id,favorite_count,retweet_count
850145622816686080,16472,3838
850019790995546112,20597,4917
849776966551130114,30782,7667
849668094696017920,0,5006
849412302885593088,16028,3183
849336543269576704,11522,1927
849051919805034497,42813,8583
848690551926992896,25477,4374
848324959059550208,25045,4649
848213670039564288,8287,745
848212111729840128,16534,3092
847978865427394560,0,3300
847971574464610304,0,436
847962785489326080,23824,5161
847842811428974592,5523,1348
847617282490613760,7085,424
847606175596138505,19024,3466
847251039262605312,20760,4346
847157206088847362,20203,5958
847116187444137987,21733,3236
846874817362120707,20380,3976
846514051647705089,45295,11762
846505985330044928,14325,3121
846153765933735936,32165,9213
846139713627017216,31433,10120
846042936437604353,16257,2923
845812042753855489,29740,8858
845677943972139009,25577,4870
845459076796616705,None,None
845397057150107648,7764,1840
845306882940190720,23737,5481
845098359547420673,0,7801
844979544864018432,13874,2603
844973813909606400,15374,3266
844704788403113984,None,None
844580511645339650,16786,3195
844223788422217728,13889,2244
843981021012017153,15436,2997
843856843873095681,21851,4719
843604394117681152,17206,2798
843235543001513987,21933,6145
842892208864923648,None,None
842846295480000512,15527,3706
842765311967449089,6887,1313
842535590457499648,18459,3582
842163532590374912,24969,5925
842115215311396866,14282,3103
841833993020538882,0,15535
841680585030541313,26218,7961
841439858740625411,12913,3770
841320156043304961,20207,5616
841314665196081154,16162,4783
841077006473256960,23352,5442
840761248237133825,0,1799
840728873075638272,0,16560
840698636975636481,179,2
840696689258311684,12551,998
840632337062862849,9180,1799
840370681858686976,16832,4670
840268004936019968,19715,5869
839990271299457024,13731,2347
839549326359670784,28131,7972
839290600511926273,0,146
839239871831150596,27847,6695
838952994649550848,20085,4094
838921590096166913,11426,2111
838916489579200512,0,35
838831947270979586,0,11322
838561493054533637,11180,1367
838476387338051585,23137,4920
838201503651401729,0,10340
838150277551247360,1715,340
838085839343206401,145,1
838083903487373313,18069,3235
837820167694528512,35030,8089
837482249356513284,3930,451
837471256429613056,13120,2338
837366284874571778,None,None
837110210464448512,16453,2442
837012587749474308,None,None
836989968035819520,13055,2350
836753516572119041,19785,4779
836677758902222849,12938,2281
836648853927522308,0,565
836397794269200385,0,28427
836380477523124226,15147,3069
836260088725786625,21847,4419
836001077879255040,19598,4390
835685285446955009,0,8391
835574547218894849,18267,3723
835536468978302976,0,1754
835309094223372289,0,21684
835297930240217089,16896,3096
835264098648616962,7936,1754
835246439529840640,2158,73
835172783151792128,26858,5939
835152434251116546,23072,3119
834931633769889797,11125,1702
834786237630337024,21842,5644
834574053763584002,14055,2618
834477809192075265,0,11020
834458053273591808,9888,1735
834209720923721728,21194,4913
834167344700198914,16233,3770
834089966724603904,10329,2197
834086379323871233,13428,2277
833863086058651648,13781,2480
833826103416520705,18517,3880
833732339549220864,0,224
833722901757046785,21345,3326
833479644947025920,15265,2111
833124694597443584,20769,5006
832998151111966721,13678,2286
832769181346996225,0,39
832757312314028032,17326,3741
832682457690300417,12227,3033
832645525019123713,3018,543
832636094638288896,16308,2881
832397543355072512,12288,2289
832369877331693569,17680,3300
832273440279240704,11652,2414
832215909146226688,0,6431
832215726631055365,0,9700
832088576586297345,67,2
832040443403784192,0,9994
832032802820481025,18385,4828
831939777352105988,24728,6358
831926988323639298,352,34
831911600680497154,28493,6749
831670449226514432,10766,1880
831650051525054464,7393,2007
831552930092285952,9264,2380
831322785565769729,9517,1599
831315979191906304,6734,1160
831309418084069378,12102,2546
831262627380748289,12273,2120
830956169170665475,8213,1546
830583320585068544,68988,17414
830173239259324417,0,5910
830097400375152640,10144,3079
829878982036299777,0,5218
829861396166877184,12616,2029
829501995190984704,32774,11020
829449946868879360,10803,2102
829374341691346946,None,None
829141528400556032,25236,7660
829011960981237760,54754,16929
828801551087042563,0,3536
828770345708580865,26373,6103
828708714936930305,37789,11666
828650029636317184,9827,1409
828409743546925057,6534,1205
828408677031882754,7931,1341
828381636999917570,13042,2300
828376505180889089,7629,1111
828372645993398273,12987,3060
828361771580813312,2278,177
828046555563323392,12161,2974
828011680017821696,10699,2234
827933404142436356,20787,5440
827653905312006145,15983,3122
827600520311402496,7660,979
827324948884643840,16377,3173
827228250799742977,None,None
827199976799354881,10935,2331
826958653328592898,22303,5218
826848821049180160,37663,10610
826615380357632002,0,4143
826598799820865537,5284,264
826598365270007810,10400,2441
826476773533745153,19060,4390
826240494070030336,13743,2707
826204788643753985,5040,967
826115272272650244,16183,3265
825876512159186944,10813,1951
825829644528148480,13175,2587
825535076884762624,54012,18013
825147591692263424,18956,4740
825120256414846976,0,1329
825026590719483904,6562,1329
824796380199809024,0,5733
824775126675836928,15481,3674
824663926340194305,10448,1814
824325613288833024,12242,10926
824297048279236611,15616,4031
824025158776213504,4969,618
823939628516474880,11018,2828
823719002937630720,0,11699
823699002998870016,14442,2627
823581115634085888,13506,2748
823333489516937216,725,26
823322678127919110,16313,4201
823269594223824897,0,10329
822975315408461824,17932,3597
822872901745569793,136897,45332
822859134160621569,13751,2394
822647212903690241,0,6692
822610361945911296,15347,3083
822489057087389700,18843,6692
